feature,importance,std
chroma_cqt_std_02,-0.0009039898693612436,0.001481332446607936
chroma_stft_min_06,-0.0009088965701429252,0.0014611782160602715
chroma_cens_skew_08,-0.0009143830409517661,0.0017199855414977796
mfcc_skew_15,-0.0009170851701626071,0.0008756590434449942
spectral_contrast_mean_02,-0.0009247026126295022,0.0013603464245377493
chroma_cqt_kurtosis_10,-0.0009320709336865018,0.002063010501909047
mfcc_skew_12,-0.0009329989991125276,0.000938559877225869
chroma_cens_std_06,-0.0009405830661073089,0.0013757766948635222
chroma_cens_max_04,-0.0009501463983707159,0.0010121026987879374
spectral_contrast_max_04,-0.0009642654695063646,0.0009664230318764667
chroma_cens_kurtosis_10,-0.0009653860465255515,0.0026871290898180743
chroma_cqt_median_01,-0.0009677611165864631,0.0019512142428675591
tonnetz_max_06,-0.0009938079400673317,0.0010678093192542932
spectral_contrast_mean_04,-0.0010068710775938184,0.0020974548391158305
mfcc_std_01,-0.001013869145535007,0.0027697117842728626
mfcc_std_07,-0.0010264502310736612,0.0012063039359886463
chroma_cqt_median_09,-0.0010533555637966762,0.0018447902213963464
chroma_cqt_std_07,-0.0010555100093251224,0.0019647188467931285
mfcc_skew_03,-0.001063811421782468,0.0038383518519174036
chroma_cqt_std_05,-0.0010888942475335839,0.001344550325809218
chroma_stft_skew_03,-0.001114813244583146,0.0008107684891335348
tonnetz_mean_03,-0.0011579061500193166,0.0006730510071804845
tonnetz_min_01,-0.001160649920558865,0.0019055327722412047
spectral_contrast_min_05,-0.0011881254301334744,0.0017532169516638236
chroma_stft_mean_09,-0.0011980108321525628,0.0011613622817291194
spectral_contrast_std_04,-0.0012342670890042485,0.0030839523389373227
chroma_stft_kurtosis_05,-0.0012385294393398917,0.0018233050178911555
chroma_stft_std_02,-0.0012541365155770811,0.0026115269950900814
chroma_cqt_min_10,-0.0012589616794490832,0.0008973471635909975
chroma_cens_skew_02,-0.0012908693777658187,0.002259904904808118
spectral_contrast_min_04,-0.0012941390633510574,0.0015937488914397788
mfcc_mean_06,-0.0013344610493872366,0.0013184260907308475
tonnetz_skew_03,-0.0013563515557487415,0.0011910271004620286
mfcc_max_14,-0.0013721418436806465,0.0012518738984744053
rmse_mean_01,-0.001380368343817634,0.001758902267867277
mfcc_max_04,-0.0013875156719249993,0.005195930321825326
tonnetz_max_02,-0.0013908746174874365,0.0008105259140251328
spectral_rolloff_kurtosis_01,-0.001406359772005622,0.000979605469100189
chroma_cens_skew_11,-0.00140726651206724,0.0015183467507527931
chroma_cens_mean_05,-0.0014455324183149266,0.001193111841174912
chroma_stft_std_12,-0.0014492433110924463,0.0021411745141951505
